Dataset	Effect	Trt	Estimate
53	Trt	C	-0.8832
53	Trt	B	0.003974
53	Trt	A	0
53	Scale Parameter		3.2141
54	Intercept		-0.5983
54	Trt	D	-2.7609
54	Trt	C	-1.0703
54	Trt	B	-0.7938
54	Trt	A	0
54	Scale Parameter		2.9117
55	Intercept		-0.8555
55	Trt	D	-1.6390
55	Trt	C	-1.0104
55	Trt	B	-0.1105
55	Trt	A	0
55	Scale Parameter		3.1134
56	Intercept		-0.6318
56	Trt	D	-1.9357
56	Trt	C	-1.3140
56	Trt	B	-0.7826
56	Trt	A	0
56	Scale Parameter		5.2348
57	Intercept		-0.6204
57	Trt	D	-1.3596
57	Trt	C	-0.5645
57	Trt	B	-0.4264
57	Trt	A	0
57	Scale Parameter		2.1978
58	Intercept		-0.5440
58	Trt	D	-1.9129
58	Trt	C	-0.8721
58	Trt	B	-0.6252
58	Trt	A	0
58	Scale Parameter		3.9072
59	Intercept		-0.9268
59	Trt	D	-1.0943
59	Trt	C	-0.7372
59	Trt	B	-0.4473
59	Trt	A	0
59	Scale Parameter		3.2854
60	Intercept		-0.6011
60	Trt	D	-1.9859
60	Trt	C	-0.8697
60	Trt	B	-0.7517
60	Trt	A	0
60	Scale Parameter		5.8719
61	Intercept		-1.2288
61	Trt	D	-1.3387
61	Trt	C	-0.1778
61	Trt	B	-0.3219
61	Trt	A	0
61	Scale Parameter		5.9411
62	Intercept		0.9572
62	Trt	D	-2.5996
62	Trt	C	-2.2215
62	Trt	B	-2.0392
62	Trt	A	0
62	Scale Parameter		0.5140
63	Intercept		-0.9415
63	Trt	D	-1.4449
63	Trt	C	-1.0797
63	Trt	B	-0.3421
63	Trt	A	0
63	Scale Parameter		3.2624
64	Intercept		-0.6354
64	Trt	D	-1.7160
64	Trt	C	-1.2840
64	Trt	B	-0.7495
64	Trt	A	0
64	Scale Parameter		4.1430
65	Intercept		-0.8328
65	Trt	D	-1.2320
65	Trt	C	-1.0672
65	Trt	B	-0.5972
65	Trt	A	0
65	Scale Parameter		3.1617
66	Intercept		-0.7824
66	Trt	D	-2.2245
66	Trt	C	-0.5331
66	Trt	B	-0.4054
66	Trt	A	0
66	Scale Parameter		2.5683
67	Intercept		-1.1541
67	Trt	D	-1.1862
67	Trt	C	-0.4770
67	Trt	B	-0.1009
67	Trt	A	0
67	Scale Parameter		2.7106
68	Intercept		-0.7906
68	Trt	D	-1.8592
68	Trt	C	-0.6147
68	Trt	B	-0.7223
68	Trt	A	0
68	Scale Parameter		3.7484
69	Intercept		-0.6684
69	Trt	D	-1.6743
69	Trt	C	-1.0558
69	Trt	B	-0.5063
69	Trt	A	0
69	Scale Parameter		2.8601
70	Intercept		-0.8201
70	Trt	D	-1.4694
70	Trt	C	-0.5435
70	Trt	B	-0.3761
70	Trt	A	0
70	Scale Parameter		1.7907
71	Intercept		-0.9204
71	Trt	D	-0.9738
71	Trt	C	-0.8210
71	Trt	B	-0.2219
71	Trt	A	0
71	Scale Parameter		5.0167
72	Intercept		-0.4670
72	Trt	D	-1.9663
72	Trt	C	-1.2993
72	Trt	B	-0.7930
72	Trt	A	0
72	Scale Parameter		3.3316
