Dataset	Effect	Trt	Estimate
349	Trt	C	-1.4859
349	Trt	B	-0.4935
349	Trt	A	0
349	Scale Parameter		1.9612
350	Intercept		-0.6380
350	Trt	D	-1.4883
350	Trt	C	-1.1753
350	Trt	B	-0.6068
350	Trt	A	0
350	Scale Parameter		2.6376
351	Intercept		-0.9581
351	Trt	D	-1.4555
351	Trt	C	-1.0916
351	Trt	B	-0.4225
351	Trt	A	0
351	Scale Parameter		3.2583
352	Intercept		-0.7349
352	Trt	D	-1.8333
352	Trt	C	-1.3098
352	Trt	B	-0.3451
352	Trt	A	0
352	Scale Parameter		2.2580
353	Intercept		-0.8054
353	Trt	D	-1.2193
353	Trt	C	-0.8434
353	Trt	B	-0.2386
353	Trt	A	0
353	Scale Parameter		2.7455
354	Intercept		-0.7936
354	Trt	D	-1.3605
354	Trt	C	-0.8470
354	Trt	B	-0.3929
354	Trt	A	0
354	Scale Parameter		3.1216
355	Intercept		-0.7105
355	Trt	D	-1.5588
355	Trt	C	-1.2888
355	Trt	B	-0.5421
355	Trt	A	0
355	Scale Parameter		2.9574
356	Intercept		0.8497
356	Trt	D	-2.5581
356	Trt	C	-2.4409
356	Trt	B	-2.2411
356	Trt	A	0
356	Scale Parameter		2.9818
357	Intercept		-0.5752
357	Trt	D	-1.8213
357	Trt	C	-1.0728
357	Trt	B	-0.5784
357	Trt	A	0
357	Scale Parameter		4.8476
358	Intercept		-1.0060
358	Trt	D	-1.4486
358	Trt	C	-0.3839
358	Trt	B	-0.09823
358	Trt	A	0
358	Scale Parameter		2.9124
359	Intercept		-0.6723
359	Trt	D	-1.8386
359	Trt	C	-1.0466
359	Trt	B	-0.4396
359	Trt	A	0
359	Scale Parameter		2.0906
360	Intercept		-0.5742
360	Trt	D	-1.6591
360	Trt	C	-0.9558
360	Trt	B	-0.9388
360	Trt	A	0
360	Scale Parameter		3.5287
361	Intercept		-0.7288
361	Trt	D	-1.7722
361	Trt	C	-1.1439
361	Trt	B	-0.4706
361	Trt	A	0
361	Scale Parameter		2.3649
362	Intercept		-0.5532
362	Trt	D	-1.7170
362	Trt	C	-1.0070
362	Trt	B	-0.4600
362	Trt	A	0
362	Scale Parameter		3.9691
363	Intercept		-0.8600
363	Trt	D	-1.0728
363	Trt	C	-0.9099
363	Trt	B	-0.1522
363	Trt	A	0
363	Scale Parameter		2.9385
364	Intercept		-0.4574
364	Trt	D	-2.2874
364	Trt	C	-1.4947
364	Trt	B	-0.5129
364	Trt	A	0
364	Scale Parameter		2.7506
365	Intercept		-0.7068
365	Trt	D	-1.5647
365	Trt	C	-0.8439
365	Trt	B	-0.4913
365	Trt	A	0
365	Scale Parameter		3.6552
366	Intercept		-0.6496
366	Trt	D	-1.6895
366	Trt	C	-0.9961
366	Trt	B	-0.5266
366	Trt	A	0
366	Scale Parameter		3.9007
367	Intercept		-0.5216
367	Trt	D	-2.1178
367	Trt	C	-1.2846
367	Trt	B	-0.9939
367	Trt	A	0
367	Scale Parameter		2.9923
368	Intercept		-0.9213
368	Trt	D	-1.7696
368	Trt	C	-0.5827
368	Trt	B	-0.1708
368	Trt	A	0
368	Scale Parameter		4.6947
369	Intercept		-1.0273
369	Trt	D	-1.5323
369	Trt	C	-0.2928
369	Trt	B	-0.2846
369	Trt	A	0
369	Scale Parameter		2.4105
370	Intercept		-0.5674
370	Trt	D	-2.1280
370	Trt	C	-0.8169
370	Trt	B	-0.4721
370	Trt	A	0
370	Scale Parameter		3.2904
371	Intercept		-1.0295
371	Trt	D	-1.8564
371	Trt	C	-0.4120
371	Trt	B	-0.3281
371	Trt	A	0
371	Scale Parameter		5.5465
372	Intercept		-0.6047
372	Trt	D	-1.9128
372	Trt	C	-1.1436
372	Trt	B	-0.7893
372	Trt	A	0
372	Scale Parameter		3.6727
373	Intercept		-0.8772
373	Trt	D	-1.4895
373	Trt	C	-0.4940
373	Trt	B	-0.4703
373	Trt	A	0
373	Scale Parameter		3.0283
374	Intercept		-0.5782
374	Trt	D	-2.0141
374	Trt	C	-1.1643
374	Trt	B	-0.7662
374	Trt	A	0
374	Scale Parameter		3.1355
375	Intercept		0.7934
375	Trt	D	-2.5406
375	Trt	C	-2.3027
375	Trt	B	-1.8819
375	Trt	A	0
375	Scale Parameter		0.6834
376	Intercept		-0.6629
376	Trt	D	-2.0976
376	Trt	C	-1.0462
376	Trt	B	-0.1884
376	Trt	A	0
376	Scale Parameter		2.4457
377	Intercept		-0.7251
377	Trt	D	-2.1770
377	Trt	C	-0.6908
377	Trt	B	-0.5935
377	Trt	A	0
377	Scale Parameter		1.7914
378	Intercept		-0.6914
378	Trt	D	-1.4907
378	Trt	C	-0.8826
378	Trt	B	-0.2777
378	Trt	A	0
378	Scale Parameter		2.7512
379	Intercept		-0.9435
379	Trt	D	-2.3301
379	Trt	C	-0.5495
379	Trt	B	-0.3977
379	Trt	A	0
379	Scale Parameter		2.5448
380	Intercept		-0.9064
380	Trt	D	-0.9981
380	Trt	C	-0.9899
380	Trt	B	-0.06350
380	Trt	A	0
380	Scale Parameter		2.7775
381	Intercept		-0.7018
381	Trt	D	-1.7360
381	Trt	C	-1.2219
381	Trt	B	-0.2658
381	Trt	A	0
381	Scale Parameter		2.5896
382	Intercept		-0.6887
382	Trt	D	-1.8910
382	Trt	C	-1.1485
382	Trt	B	-0.6288
382	Trt	A	0
382	Scale Parameter		2.9636
383	Intercept		-0.8032
383	Trt	D	-1.3821
383	Trt	C	-0.9527
383	Trt	B	-0.2430
383	Trt	A	0
383	Scale Parameter		2.6997
384	Intercept		-0.5540
384	Trt	D	-1.7818
384	Trt	C	-1.1743
384	Trt	B	-0.5760
384	Trt	A	0
384	Scale Parameter		3.5931
385	Intercept		-0.7944
385	Trt	D	-1.3268
385	Trt	C	-0.6149
385	Trt	B	-0.3527
385	Trt	A	0
385	Scale Parameter		1.9151
386	Intercept		-1.1499
386	Trt	D	-1.1722
386	Trt	C	-0.7304
386	Trt	B	-0.1105
386	Trt	A	0
386	Scale Parameter		2.7485
387	Intercept		-1.0017
387	Trt	D	-1.7253
387	Trt	C	-0.6664
387	Trt	B	-0.1890
387	Trt	A	0
387	Scale Parameter		3.4766
388	Intercept		-0.4477
388	Trt	D	-1.6971
388	Trt	C	-1.3593
388	Trt	B	-0.7785
388	Trt	A	0
388	Scale Parameter		1.6051
389	Intercept		-0.5483
389	Trt	D	-1.5764
389	Trt	C	-0.7758
389	Trt	B	-0.7252
389	Trt	A	0
389	Scale Parameter		2.7004
390	Intercept		-0.5887
390	Trt	D	-1.3393
390	Trt	C	-1.4601
390	Trt	B	-0.7059
390	Trt	A	0
390	Scale Parameter		4.2702
391	Intercept		-0.5763
391	Trt	D	-2.0129
391	Trt	C	-1.0713
391	Trt	B	-0.9507
391	Trt	A	0
391	Scale Parameter		3.0074
392	Intercept		-0.8242
392	Trt	D	-1.6328
392	Trt	C	-0.5326
392	Trt	B	-0.5489
392	Trt	A	0
392	Scale Parameter		3.6341
393	Intercept		-0.6002
393	Trt	D	-1.4020
393	Trt	C	-0.9848
393	Trt	B	-0.2762
393	Trt	A	0
393	Scale Parameter		2.9551
394	Intercept		-0.4082
394	Trt	D	-1.8445
394	Trt	C	-1.4880
394	Trt	B	-0.7524
394	Trt	A	0
394	Scale Parameter		4.9223
395	Intercept		-0.9454
395	Trt	D	-0.8920
395	Trt	C	-0.7079
395	Trt	B	-0.1164
395	Trt	A	0
395	Scale Parameter		4.9394
396	Intercept		-0.6929
396	Trt	D	-1.4205
396	Trt	C	-0.9231
396	Trt	B	-0.5411
396	Trt	A	0
396	Scale Parameter		1.8776
397	Intercept		-0.4063
397	Trt	D	-1.6438
397	Trt	C	-1.0715
397	Trt	B	-1.1146
397	Trt	A	0
397	Scale Parameter		2.2610
398	Intercept		-0.7731
398	Trt	D	-2.3199
398	Trt	C	-0.8684
398	Trt	B	-0.5304
398	Trt	A	0
398	Scale Parameter		4.6912
399	Intercept		-0.8042
399	Trt	D	-1.8054
399	Trt	C	-0.6624
399	Trt	B	-0.3478
399	Trt	A	0
399	Scale Parameter		1.8636
400	Intercept		-0.5573
400	Trt	D	-1.6994
400	Trt	C	-0.7119
400	Trt	B	-0.6608
400	Trt	A	0
400	Scale Parameter		2.7829
401	Intercept		-1.1235
401	Trt	D	-1.3071
401	Trt	C	-0.5462
401	Trt	B	-0.1125
401	Trt	A	0
401	Scale Parameter		5.6897
402	Intercept		-0.6450
402	Trt	D	-2.7113
402	Trt	C	-0.8871
402	Trt	B	-0.7341
402	Trt	A	0
402	Scale Parameter		2.9532
403	Intercept		1.5974
403	Trt	D	-3.4530
403	Trt	C	-2.8535
403	Trt	B	-2.6436
403	Trt	A	0
403	Scale Parameter		0.2020
404	Intercept		-0.6260
404	Trt	D	-1.2924
404	Trt	C	-1.0071
404	Trt	B	-0.7024
404	Trt	A	0
404	Scale Parameter		3.2418
405	Intercept		-1.0393
405	Trt	D	-1.3178
405	Trt	C	-1.1057
405	Trt	B	-0.3315
405	Trt	A	0
405	Scale Parameter		2.8032
406	Intercept		-0.7980
406	Trt	D	-1.8900
406	Trt	C	-0.9306
406	Trt	B	-0.2941
406	Trt	A	0
406	Scale Parameter		2.4422
407	Intercept		-0.5851
407	Trt	D	-2.1860
407	Trt	C	-0.9545
407	Trt	B	-0.5302
407	Trt	A	0
407	Scale Parameter		2.4497
408	Intercept		-0.9202
408	Trt	D	-1.8247
408	Trt	C	-0.7831
408	Trt	B	-0.4540
408	Trt	A	0
408	Scale Parameter		2.7546
409	Intercept		-0.5655
409	Trt	D	-2.0050
409	Trt	C	-1.2717
409	Trt	B	-0.3517
409	Trt	A	0
409	Scale Parameter		2.7381
410	Intercept		-0.7175
410	Trt	D	-1.4908
410	Trt	C	-0.7537
410	Trt	B	-0.4626
410	Trt	A	0
410	Scale Parameter		1.7599
411	Intercept		-1.0053
411	Trt	D	-1.3052
411	Trt	C	-0.8103
411	Trt	B	-0.01236
411	Trt	A	0
411	Scale Parameter		4.5568
412	Intercept		-0.4180
412	Trt	D	-1.7917
412	Trt	C	-0.9060
412	Trt	B	-0.5094
412	Trt	A	0
412	Scale Parameter		1.8896
413	Intercept		-1.1312
413	Trt	D	-1.5831
413	Trt	C	-0.8102
413	Trt	B	-0.3163
413	Trt	A	0
413	Scale Parameter		4.5156
414	Intercept		-0.7566
414	Trt	D	-2.0158
414	Trt	C	-1.0563
414	Trt	B	-0.9110
414	Trt	A	0
414	Scale Parameter		3.0539
415	Intercept		-0.7662
415	Trt	D	-1.7939
415	Trt	C	-0.9099
415	Trt	B	-0.3626
415	Trt	A	0
415	Scale Parameter		3.1675
416	Intercept		-0.7826
416	Trt	D	-1.6253
416	Trt	C	-0.8182
416	Trt	B	-0.5131
416	Trt	A	0
416	Scale Parameter		1.9029
417	Intercept		-0.5730
417	Trt	D	-1.7045
417	Trt	C	-0.8632
417	Trt	B	-0.7460
417	Trt	A	0
417	Scale Parameter		3.6537
418	Intercept		-0.5676
418	Trt	D	-1.2922
418	Trt	C	-0.8931
418	Trt	B	-0.5072
418	Trt	A	0
418	Scale Parameter		1.8619
419	Intercept		-0.7054
419	Trt	D	-1.5704
419	Trt	C	-0.6846
419	Trt	B	-0.2230
419	Trt	A	0
419	Scale Parameter		3.5375
420	Intercept		-0.7736
420	Trt	D	-1.6594
420	Trt	C	-1.1549
420	Trt	B	-0.5670
420	Trt	A	0
420	Scale Parameter		3.4210
421	Intercept		-0.7199
421	Trt	D	-1.8569
421	Trt	C	-1.2760
421	Trt	B	-0.3802
421	Trt	A	0
421	Scale Parameter		2.1773
422	Intercept		-0.6211
422	Trt	D	-1.8801
422	Trt	C	-1.1541
422	Trt	B	-0.4658
422	Trt	A	0
422	Scale Parameter		3.1398
423	Intercept		-0.6021
423	Trt	D	-1.7772
423	Trt	C	-0.7653
423	Trt	B	-0.4432
423	Trt	A	0
423	Scale Parameter		2.0226
424	Intercept		-0.5200
424	Trt	D	-1.5097
424	Trt	C	-1.1657
424	Trt	B	-0.4178
424	Trt	A	0
424	Scale Parameter		1.8830
425	Intercept		-0.5935
425	Trt	D	-2.0451
425	Trt	C	-0.9668
425	Trt	B	-0.5573
425	Trt	A	0
425	Scale Parameter		2.9960
426	Intercept		-0.6892
426	Trt	D	-2.0199
426	Trt	C	-0.9324
426	Trt	B	-0.5539
426	Trt	A	0
426	Scale Parameter		2.2550
427	Intercept		-0.9312
427	Trt	D	-1.7928
427	Trt	C	-0.8851
427	Trt	B	-0.05882
427	Trt	A	0
427	Scale Parameter		1.8604
428	Intercept		-0.8131
428	Trt	D	-1.1662
428	Trt	C	-0.7609
428	Trt	B	-0.6108
428	Trt	A	0
428	Scale Parameter		5.8830
429	Intercept		-0.5653
429	Trt	D	-2.5476
429	Trt	C	-1.4592
429	Trt	B	-0.4750
429	Trt	A	0
429	Scale Parameter		2.0884
430	Intercept		-0.5597
430	Trt	D	-1.9932
430	Trt	C	-1.3165
430	Trt	B	-0.3394
430	Trt	A	0
430	Scale Parameter		2.6763
431	Intercept		-0.5981
431	Trt	D	-1.6327
431	Trt	C	-0.9186
431	Trt	B	-0.2391
431	Trt	A	0
431	Scale Parameter		2.8791
432	Intercept		-0.3954
432	Trt	D	-1.8246
432	Trt	C	-1.2236
432	Trt	B	-0.7208
432	Trt	A	0
432	Scale Parameter		2.5030
433	Intercept		-0.6172
433	Trt	D	-2.4986
433	Trt	C	-1.1748
433	Trt	B	-0.3859
433	Trt	A	0
433	Scale Parameter		4.0687
434	Intercept		-0.7936
434	Trt	D	-1.8509
434	Trt	C	-0.5539
434	Trt	B	-0.1651
434	Trt	A	0
434	Scale Parameter		2.3225
435	Intercept		-0.8335
435	Trt	D	-1.3740
435	Trt	C	-0.9551
435	Trt	B	-0.5761
435	Trt	A	0
435	Scale Parameter		2.0819
436	Intercept		-0.8911
436	Trt	D	-1.8406
436	Trt	C	-0.6355
436	Trt	B	-0.03117
436	Trt	A	0
436	Scale Parameter		2.4310
437	Intercept		-0.8665
437	Trt	D	-1.6181
437	Trt	C	-0.7337
437	Trt	B	-0.1399
437	Trt	A	0
437	Scale Parameter		2.1704
438	Intercept		-0.6374
438	Trt	D	-1.8087
438	Trt	C	-0.9282
438	Trt	B	-0.7161
438	Trt	A	0
438	Scale Parameter		3.1917
439	Intercept		-0.7400
439	Trt	D	-2.0775
439	Trt	C	-0.9971
439	Trt	B	-0.4684
439	Trt	A	0
439	Scale Parameter		3.4000
440	Intercept		-0.9199
440	Trt	D	-2.0624
440	Trt	C	-0.4919
440	Trt	B	-0.1702
440	Trt	A	0
440	Scale Parameter		4.5938
441	Intercept		-0.5297
441	Trt	D	-2.1478
441	Trt	C	-1.2551
441	Trt	B	-0.7957
441	Trt	A	0
441	Scale Parameter		3.2894
442	Intercept		-1.0573
442	Trt	D	-1.7236
442	Trt	C	-0.4437
442	Trt	B	-0.1979
442	Trt	A	0
442	Scale Parameter		4.9703
443	Intercept		-0.5036
443	Trt	D	-2.2702
443	Trt	C	-1.1744
443	Trt	B	-0.8887
443	Trt	A	0
443	Scale Parameter		2.5018
444	Intercept		-0.7430
444	Trt	D	-1.7545
444	Trt	C	-0.8059
444	Trt	B	-0.4027
444	Trt	A	0
444	Scale Parameter		4.0353
445	Intercept		-0.7593
445	Trt	D	-1.1145
445	Trt	C	-0.9723
445	Trt	B	-0.6297
445	Trt	A	0
445	Scale Parameter		2.6296
446	Intercept		-0.7171
446	Trt	D	-1.5330
446	Trt	C	-0.8760
446	Trt	B	-0.7521
446	Trt	A	0
446	Scale Parameter		3.8882
447	Intercept		-0.5976
447	Trt	D	-1.4109
447	Trt	C	-1.1342
447	Trt	B	-0.4047
447	Trt	A	0
447	Scale Parameter		3.2768
448	Intercept		-0.8673
448	Trt	D	-1.8614
448	Trt	C	-0.9422
448	Trt	B	-0.3836
448	Trt	A	0
448	Scale Parameter		2.8892
449	Intercept		-0.7258
449	Trt	D	-1.5052
449	Trt	C	-0.6824
449	Trt	B	-0.4945
449	Trt	A	0
449	Scale Parameter		2.4878
450	Intercept		-0.9872
450	Trt	D	-1.6877
450	Trt	C	-0.8688
450	Trt	B	-0.2671
450	Trt	A	0
450	Scale Parameter		3.2253
451	Intercept		-0.8358
451	Trt	D	-2.0195
451	Trt	C	-0.7549
451	Trt	B	-0.3252
451	Trt	A	0
451	Scale Parameter		3.9378
452	Intercept		-0.6830
452	Trt	D	-1.4680
452	Trt	C	-1.5498
452	Trt	B	-0.5003
452	Trt	A	0
452	Scale Parameter		3.3799
453	Intercept		-0.9749
453	Trt	D	-1.4132
453	Trt	C	-0.8965
453	Trt	B	-0.01619
453	Trt	A	0
453	Scale Parameter		2.9915
454	Intercept		-0.6906
454	Trt	D	-1.6891
454	Trt	C	-1.0698
454	Trt	B	-0.6226
454	Trt	A	0
454	Scale Parameter		1.9603
455	Intercept		-0.7317
455	Trt	D	-2.1301
455	Trt	C	-1.2054
455	Trt	B	-0.4016
455	Trt	A	0
455	Scale Parameter		3.5601
456	Intercept		-0.5764
456	Trt	D	-1.6026
456	Trt	C	-1.2026
456	Trt	B	-1.1107
456	Trt	A	0
456	Scale Parameter		4.3068
457	Intercept		-0.6991
457	Trt	D	-2.1910
457	Trt	C	-0.6372
457	Trt	B	-0.2319
457	Trt	A	0
457	Scale Parameter		2.0476
458	Intercept		-0.4751
458	Trt	D	-1.8760
458	Trt	C	-0.8641
458	Trt	B	-0.7694
458	Trt	A	0
458	Scale Parameter		3.1923
459	Intercept		-0.6231
459	Trt	D	-1.8858
459	Trt	C	-0.7291
459	Trt	B	-0.3019
459	Trt	A	0
459	Scale Parameter		2.2795
460	Intercept		-0.8131
460	Trt	D	-1.8000
460	Trt	C	-0.6063
460	Trt	B	-0.2054
460	Trt	A	0
460	Scale Parameter		2.3251
461	Intercept		-0.8400
461	Trt	D	-1.6252
461	Trt	C	-0.7576
461	Trt	B	-0.4203
461	Trt	A	0
461	Scale Parameter		4.1639
462	Intercept		-0.7803
462	Trt	D	-1.5798
462	Trt	C	-0.5244
462	Trt	B	-0.4350
462	Trt	A	0
462	Scale Parameter		2.5783
463	Intercept		-0.9182
463	Trt	D	-1.3377
463	Trt	C	-1.0142
463	Trt	B	-0.5920
463	Trt	A	0
463	Scale Parameter		2.3701
464	Intercept		-0.6433
464	Trt	D	-1.8186
464	Trt	C	-1.0964
464	Trt	B	-0.6300
464	Trt	A	0
464	Scale Parameter		2.8900
465	Intercept		-0.8115
465	Trt	D	-1.6932
465	Trt	C	-0.5384
465	Trt	B	-0.2194
465	Trt	A	0
465	Scale Parameter		3.4762
466	Intercept		-0.9169
466	Trt	D	-1.5596
466	Trt	C	-0.7703
466	Trt	B	-0.3381
466	Trt	A	0
466	Scale Parameter		3.1946
467	Intercept		-0.5227
467	Trt	D	-1.9438
467	Trt	C	-1.6268
467	Trt	B	-0.8254
467	Trt	A	0
467	Scale Parameter		1.9278
468	Intercept		-0.8115
468	Trt	D	-1.7669
468	Trt	C	-0.8098
468	Trt	B	-0.6945
468	Trt	A	0
468	Scale Parameter		3.7411
469	Intercept		-0.6900
469	Trt	D	-2.3596
469	Trt	C	-0.8995
469	Trt	B	-0.4881
469	Trt	A	0
469	Scale Parameter		2.6807
470	Intercept		-0.7544
470	Trt	D	-2.0141
470	Trt	C	-0.8174
470	Trt	B	-0.1300
470	Trt	A	0
470	Scale Parameter		3.5760
471	Intercept		-0.7161
471	Trt	D	-1.3370
471	Trt	C	-1.2758
471	Trt	B	-0.6341
471	Trt	A	0
471	Scale Parameter		4.2016
472	Intercept		-0.7261
472	Trt	D	-1.3881
472	Trt	C	-1.0201
472	Trt	B	-0.2483
472	Trt	A	0
472	Scale Parameter		4.9142
473	Intercept		-0.5350
473	Trt	D	-1.8044
473	Trt	C	-0.8369
473	Trt	B	-0.4846
473	Trt	A	0
473	Scale Parameter		1.5128
474	Intercept		-0.7818
474	Trt	D	-1.9242
474	Trt	C	-1.7726
474	Trt	B	-0.4625
474	Trt	A	0
474	Scale Parameter		5.2868
475	Intercept		-0.7014
475	Trt	D	-1.8640
475	Trt	C	-1.2269
475	Trt	B	-0.6885
475	Trt	A	0
475	Scale Parameter		2.9731
476	Intercept		-0.7155
476	Trt	D	-1.6988
476	Trt	C	-0.8006
476	Trt	B	-0.3053
476	Trt	A	0
476	Scale Parameter		3.5133
477	Intercept		-0.6992
477	Trt	D	-2.1282
477	Trt	C	-0.7557
477	Trt	B	-0.6890
477	Trt	A	0
477	Scale Parameter		3.8742
478	Intercept		-1.0035
478	Trt	D	-2.3999
478	Trt	C	-0.5480
478	Trt	B	0.06158
478	Trt	A	0
478	Scale Parameter		3.6109
479	Intercept		-0.8151
479	Trt	D	-1.3815
479	Trt	C	-0.6666
479	Trt	B	-0.5160
479	Trt	A	0
479	Scale Parameter		2.4122
480	Intercept		-0.8590
480	Trt	D	-1.6366
480	Trt	C	-0.9059
480	Trt	B	-0.4671
480	Trt	A	0
480	Scale Parameter		3.9398
481	Intercept		-0.6130
481	Trt	D	-1.9010
481	Trt	C	-1.4345
481	Trt	B	-0.8117
481	Trt	A	0
481	Scale Parameter		3.4808
482	Intercept		-0.5998
482	Trt	D	-2.7869
482	Trt	C	-1.0481
482	Trt	B	-0.8612
482	Trt	A	0
482	Scale Parameter		3.6197
483	Intercept		-0.9251
483	Trt	D	-1.7829
483	Trt	C	-1.1019
483	Trt	B	-0.1534
483	Trt	A	0
483	Scale Parameter		4.2211
484	Intercept		-0.9077
484	Trt	D	-1.9841
484	Trt	C	-0.8399
484	Trt	B	-0.3883
484	Trt	A	0
484	Scale Parameter		1.6133
485	Intercept		-0.5097
485	Trt	D	-1.8259
485	Trt	C	-1.1714
485	Trt	B	-0.3977
485	Trt	A	0
485	Scale Parameter		1.6477
486	Intercept		-0.9217
486	Trt	D	-1.4685
486	Trt	C	-0.7572
486	Trt	B	-0.3078
486	Trt	A	0
486	Scale Parameter		2.3719
487	Intercept		-0.6122
487	Trt	D	-1.7629
487	Trt	C	-1.1284
487	Trt	B	-0.3167
487	Trt	A	0
487	Scale Parameter		3.2256
488	Intercept		-0.9993
488	Trt	D	-2.0110
488	Trt	C	-0.9156
488	Trt	B	-0.1426
488	Trt	A	0
488	Scale Parameter		3.3086
489	Intercept		-0.4969
489	Trt	D	-1.4027
489	Trt	C	-1.0697
489	Trt	B	-0.8294
489	Trt	A	0
489	Scale Parameter		3.7000
490	Intercept		-0.5429
490	Trt	D	-2.2667
490	Trt	C	-1.0794
490	Trt	B	-0.9937
490	Trt	A	0
490	Scale Parameter		3.5385
491	Intercept		-0.6425
491	Trt	D	-1.9678
491	Trt	C	-0.9380
491	Trt	B	-0.4048
491	Trt	A	0
491	Scale Parameter		2.7332
492	Intercept		-0.5821
492	Trt	D	-1.7826
492	Trt	C	-0.9520
492	Trt	B	-0.4892
492	Trt	A	0
492	Scale Parameter		3.5802
493	Intercept		-0.5224
493	Trt	D	-1.7800
493	Trt	C	-1.3145
493	Trt	B	-0.5042
493	Trt	A	0
493	Scale Parameter		2.9272
494	Intercept		-0.6999
494	Trt	D	-2.1962
494	Trt	C	-1.0583
494	Trt	B	-0.6382
494	Trt	A	0
494	Scale Parameter		3.7131
495	Intercept		-0.5787
495	Trt	D	-1.2835
495	Trt	C	-1.0602
495	Trt	B	-0.5052
495	Trt	A	0
495	Scale Parameter		4.1072
496	Intercept		-1.0973
496	Trt	D	-1.1574
496	Trt	C	-0.1630
496	Trt	B	0.06028
496	Trt	A	0
496	Scale Parameter		3.2948
497	Intercept		-1.1708
497	Trt	D	-0.8789
497	Trt	C	-0.6725
497	Trt	B	0.1945
497	Trt	A	0
497	Scale Parameter		2.3247
498	Intercept		-0.5676
498	Trt	D	-1.7177
498	Trt	C	-1.1675
498	Trt	B	-0.5398
498	Trt	A	0
498	Scale Parameter		3.0144
499	Intercept		-0.6584
499	Trt	D	-2.2772
499	Trt	C	-0.7375
499	Trt	B	-0.1513
499	Trt	A	0
499	Scale Parameter		2.5035
500	Intercept		-0.4437
500	Trt	D	-2.1010
500	Trt	C	-1.0169
500	Trt	B	-0.6392
500	Trt	A	0
500	Scale Parameter		2.2679
