Dataset	Parm	Level1	Estimate
82	Trt	D	-1.4576
82	Trt	C	-0.4366
82	Trt	B	-0.0582
82	Trt	A	0.0000
83	Intercept		-0.6596
83	Trt	D	-2.2994
83	Trt	C	-1.4108
83	Trt	B	-0.7593
83	Trt	A	0.0000
84	Intercept		-0.5766
84	Trt	D	-2.1449
84	Trt	C	-0.8480
84	Trt	B	-0.6568
84	Trt	A	0.0000
85	Intercept		-0.5705
85	Trt	D	-1.9131
85	Trt	C	-1.4135
85	Trt	B	-0.5116
85	Trt	A	0.0000
86	Intercept		-0.5411
86	Trt	D	-1.7183
86	Trt	C	-1.6065
86	Trt	B	-1.0871
86	Trt	A	0.0000
87	Intercept		-0.6447
87	Trt	D	-2.5202
87	Trt	C	-0.8463
87	Trt	B	-0.6598
87	Trt	A	0.0000
88	Intercept		-0.5318
88	Trt	D	-2.1898
88	Trt	C	-1.6268
88	Trt	B	-0.2986
88	Trt	A	0.0000
89	Intercept		-0.5685
89	Trt	D	-2.2678
89	Trt	C	-0.8783
89	Trt	B	-0.7840
89	Trt	A	0.0000
90	Intercept		-0.7636
90	Trt	D	-1.8957
90	Trt	C	-1.2611
90	Trt	B	-0.6762
90	Trt	A	0.0000
91	Intercept		-0.6057
91	Trt	D	-2.1201
91	Trt	C	-1.0176
91	Trt	B	-0.5694
91	Trt	A	0.0000
92	Intercept		-0.6365
92	Trt	D	-2.1270
92	Trt	C	-0.9990
92	Trt	B	-0.7948
92	Trt	A	0.0000
93	Intercept		-0.7061
93	Trt	D	-2.1197
93	Trt	C	-0.8804
93	Trt	B	-0.3448
93	Trt	A	0.0000
94	Intercept		-0.6377
94	Trt	D	-1.7877
94	Trt	C	-1.0760
94	Trt	B	-0.7587
94	Trt	A	0.0000
95	Intercept		-0.5196
95	Trt	D	-2.1540
95	Trt	C	-1.3604
95	Trt	B	-0.9348
95	Trt	A	0.0000
96	Intercept		-0.7924
96	Trt	D	-1.8450
96	Trt	C	-0.9193
96	Trt	B	-0.4775
96	Trt	A	0.0000
97	Intercept		-0.8203
97	Trt	D	-1.7948
97	Trt	C	-0.9872
97	Trt	B	-0.0445
97	Trt	A	0.0000
98	Intercept		-0.6532
98	Trt	D	-1.9672
98	Trt	C	-0.7648
98	Trt	B	-0.3084
98	Trt	A	0.0000
99	Intercept		-0.8299
99	Trt	D	-1.8693
99	Trt	C	-0.9818
99	Trt	B	-0.5203
99	Trt	A	0.0000
100	Intercept		-0.5711
100	Trt	D	-2.3845
100	Trt	C	-1.1066
100	Trt	B	-0.2426
100	Trt	A	0.0000
101	Intercept		-0.5711
101	Trt	D	-1.6759
101	Trt	C	-1.1483
101	Trt	B	-0.6564
101	Trt	A	0.0000
102	Intercept		-0.9902
102	Trt	D	-1.8946
102	Trt	C	-0.3455
102	Trt	B	-0.0808
102	Trt	A	0.0000
103	Intercept		-0.7448
103	Trt	D	-2.7347
103	Trt	C	-1.3524
103	Trt	B	-0.4043
103	Trt	A	0.0000
104	Intercept		-0.8130
104	Trt	D	-1.9438
104	Trt	C	-0.6102
104	Trt	B	-0.3664
104	Trt	A	0.0000
105	Intercept		-0.6744
105	Trt	D	-1.8281
105	Trt	C	-0.9497
105	Trt	B	-0.6919
105	Trt	A	0.0000
106	Intercept		-0.7683
106	Trt	D	-3.0859
106	Trt	C	-0.7907
106	Trt	B	-0.4270
106	Trt	A	0.0000
107	Intercept		-0.5838
107	Trt	D	-2.8239
107	Trt	C	-0.9691
107	Trt	B	-0.9169
107	Trt	A	0.0000
108	Intercept		-0.5440
108	Trt	D	-2.3870
108	Trt	C	-1.4891
108	Trt	B	-0.6806
108	Trt	A	0.0000
109	Intercept		-0.7071
109	Trt	D	-1.8794
109	Trt	C	-0.6029
109	Trt	B	-0.5692
109	Trt	A	0.0000
110	Intercept		-0.5912
110	Trt	D	-2.0740
110	Trt	C	-1.0129
110	Trt	B	-0.9406
110	Trt	A	0.0000
111	Intercept		-0.6236
111	Trt	D	-2.5373
111	Trt	C	-1.1988
111	Trt	B	-0.4186
111	Trt	A	0.0000
112	Intercept		-0.5953
112	Trt	D	-2.3807
112	Trt	C	-1.0969
112	Trt	B	-0.6933
112	Trt	A	0.0000
113	Intercept		-0.8168
113	Trt	D	-1.4487
113	Trt	C	-1.0743
113	Trt	B	-0.6258
113	Trt	A	0.0000
114	Intercept		-0.8450
114	Trt	D	-1.8388
114	Trt	C	-1.1241
114	Trt	B	-0.3581
114	Trt	A	0.0000
115	Intercept		-0.6086
115	Trt	D	-1.9289
115	Trt	C	-1.5730
115	Trt	B	-0.6917
115	Trt	A	0.0000
116	Intercept		-0.5677
116	Trt	D	-2.1340
116	Trt	C	-0.9014
116	Trt	B	-0.6991
116	Trt	A	0.0000
117	Intercept		-0.9123
117	Trt	D	-1.5745
117	Trt	C	-0.7664
117	Trt	B	-0.2131
117	Trt	A	0.0000
118	Intercept		-1.0315
118	Trt	D	-1.7496
118	Trt	C	-0.5910
118	Trt	B	-0.5175
118	Trt	A	0.0000
119	Intercept		-0.5040
119	Trt	D	-2.3251
119	Trt	C	-0.9817
119	Trt	B	-1.2849
119	Trt	A	0.0000
120	Intercept		-0.8829
120	Trt	D	-1.9733
120	Trt	C	-0.8168
120	Trt	B	-0.4852
120	Trt	A	0.0000
121	Intercept		-0.6420
121	Trt	D	-2.1442
121	Trt	C	-0.7083
121	Trt	B	-0.6228
121	Trt	A	0.0000
122	Intercept		-0.5369
122	Trt	D	-2.4948
122	Trt	C	-0.9015
122	Trt	B	-0.8204
122	Trt	A	0.0000
123	Intercept		-0.7711
123	Trt	D	-2.1190
123	Trt	C	-0.8300
123	Trt	B	-0.3763
123	Trt	A	0.0000
124	Intercept		-0.4551
124	Trt	D	-2.1831
124	Trt	C	-1.0509
124	Trt	B	-0.7672
124	Trt	A	0.0000
125	Intercept		-0.5061
125	Trt	D	-2.0685
125	Trt	C	-1.5701
125	Trt	B	-0.6767
125	Trt	A	0.0000
126	Intercept		-0.4515
126	Trt	D	-2.0892
126	Trt	C	-1.4592
126	Trt	B	-0.6165
126	Trt	A	0.0000
127	Intercept		-0.5467
127	Trt	D	-2.2076
127	Trt	C	-1.2704
127	Trt	B	-0.5401
127	Trt	A	0.0000
128	Intercept		-1.0135
128	Trt	D	-1.5820
128	Trt	C	-0.6893
128	Trt	B	-0.1135
128	Trt	A	0.0000
129	Intercept		-0.8974
129	Trt	D	-1.8239
129	Trt	C	-0.8172
129	Trt	B	-0.0334
129	Trt	A	0.0000
130	Intercept		-0.9291
130	Trt	D	-1.8442
130	Trt	C	-0.7287
130	Trt	B	0.0047
130	Trt	A	0.0000
131	Intercept		-0.5296
131	Trt	D	-1.9475
131	Trt	C	-1.0527
131	Trt	B	-0.5388
131	Trt	A	0.0000
132	Intercept		-0.3955
132	Trt	D	-1.9918
132	Trt	C	-1.5544
132	Trt	B	-0.9264
132	Trt	A	0.0000
133	Intercept		-0.5531
133	Trt	D	-2.7402
133	Trt	C	-1.6361
133	Trt	B	-0.5715
133	Trt	A	0.0000
134	Intercept		-0.7632
134	Trt	D	-1.9522
134	Trt	C	-1.0584
134	Trt	B	-0.4148
134	Trt	A	0.0000
135	Intercept		-0.6431
135	Trt	D	-1.7760
135	Trt	C	-0.7547
135	Trt	B	-0.5656
135	Trt	A	0.0000
136	Intercept		-0.8688
136	Trt	D	-2.5052
136	Trt	C	-0.8807
136	Trt	B	-0.3965
136	Trt	A	0.0000
137	Intercept		-0.7585
137	Trt	D	-2.2653
137	Trt	C	-1.0860
137	Trt	B	-0.3298
137	Trt	A	0.0000
138	Intercept		-0.9293
138	Trt	D	-2.1056
138	Trt	C	-0.7722
138	Trt	B	-0.1572
138	Trt	A	0.0000
139	Intercept		-0.6492
139	Trt	D	-2.1346
139	Trt	C	-1.0377
139	Trt	B	-0.4080
139	Trt	A	0.0000
140	Intercept		-0.5726
140	Trt	D	-1.6547
140	Trt	C	-1.2231
140	Trt	B	-0.7880
140	Trt	A	0.0000
141	Intercept		-0.8576
141	Trt	D	-1.6738
141	Trt	C	-0.9110
141	Trt	B	-0.8377
141	Trt	A	0.0000
142	Intercept		-0.6888
142	Trt	D	-1.9250
142	Trt	C	-1.0981
142	Trt	B	-0.6817
142	Trt	A	0.0000
143	Intercept		-0.6962
143	Trt	D	-2.5631
143	Trt	C	-0.6105
143	Trt	B	-0.3890
143	Trt	A	0.0000
144	Intercept		-0.5295
144	Trt	D	-2.3038
144	Trt	C	-1.0253
144	Trt	B	-0.7969
144	Trt	A	0.0000
145	Intercept		-0.6790
145	Trt	D	-2.1181
145	Trt	C	-0.8128
145	Trt	B	-0.3949
145	Trt	A	0.0000
146	Intercept		-0.9590
146	Trt	D	-1.8639
146	Trt	C	-0.6079
146	Trt	B	0.1591
146	Trt	A	0.0000
147	Intercept		-0.6335
147	Trt	D	-2.4807
147	Trt	C	-0.9140
147	Trt	B	-0.4540
147	Trt	A	0.0000
148	Intercept		-0.4668
148	Trt	D	-2.3846
148	Trt	C	-1.4572
148	Trt	B	-0.8969
148	Trt	A	0.0000
149	Intercept		-0.6702
149	Trt	D	-1.9249
149	Trt	C	-1.0635
149	Trt	B	-0.3778
149	Trt	A	0.0000
150	Intercept		-0.5975
150	Trt	D	-1.7710
150	Trt	C	-1.1065
150	Trt	B	-0.6805
150	Trt	A	0.0000
151	Intercept		-0.6280
151	Trt	D	-2.0229
151	Trt	C	-1.1605
151	Trt	B	-0.7252
151	Trt	A	0.0000
152	Intercept		-0.6558
152	Trt	D	-1.6676
152	Trt	C	-0.7684
152	Trt	B	-0.7454
152	Trt	A	0.0000
153	Intercept		-0.7254
153	Trt	D	-2.0724
153	Trt	C	-0.8168
153	Trt	B	-0.2021
153	Trt	A	0.0000
154	Intercept		-0.6822
154	Trt	D	-2.0322
154	Trt	C	-1.3788
154	Trt	B	-0.4147
154	Trt	A	0.0000
155	Intercept		-0.7278
155	Trt	D	-1.4795
155	Trt	C	-0.7751
155	Trt	B	-0.2745
155	Trt	A	0.0000
156	Intercept		-0.7752
156	Trt	D	-1.6589
156	Trt	C	-1.3284
156	Trt	B	-0.2047
156	Trt	A	0.0000
157	Intercept		-0.6468
157	Trt	D	-2.2406
157	Trt	C	-0.9284
157	Trt	B	-0.5216
157	Trt	A	0.0000
158	Intercept		-0.5552
158	Trt	D	-2.5010
158	Trt	C	-1.0137
158	Trt	B	-1.1289
158	Trt	A	0.0000
159	Intercept		-0.8487
159	Trt	D	-2.3542
159	Trt	C	-0.8593
159	Trt	B	-0.3686
