Dataset	Parm	Level1	Estimate
411	Trt	C	-0.8495
411	Trt	B	-0.0294
411	Trt	A	0.0000
412	Intercept		-0.5066
412	Trt	D	-2.1393
412	Trt	C	-1.0238
412	Trt	B	-0.4530
412	Trt	A	0.0000
413	Intercept		-1.0966
413	Trt	D	-1.8016
413	Trt	C	-0.9473
413	Trt	B	-0.3196
413	Trt	A	0.0000
414	Intercept		-0.7791
414	Trt	D	-2.2261
414	Trt	C	-1.2049
414	Trt	B	-0.9222
414	Trt	A	0.0000
415	Intercept		-0.7703
415	Trt	D	-1.8448
415	Trt	C	-0.9839
415	Trt	B	-0.4203
415	Trt	A	0.0000
416	Intercept		-0.8018
416	Trt	D	-2.2016
416	Trt	C	-0.9094
416	Trt	B	-0.6140
416	Trt	A	0.0000
417	Intercept		-0.5914
417	Trt	D	-2.1402
417	Trt	C	-0.8586
417	Trt	B	-0.7073
417	Trt	A	0.0000
418	Intercept		-0.6096
418	Trt	D	-1.6037
418	Trt	C	-0.9419
418	Trt	B	-0.4868
418	Trt	A	0.0000
419	Intercept		-0.7208
419	Trt	D	-1.7547
419	Trt	C	-0.7111
419	Trt	B	-0.2122
419	Trt	A	0.0000
420	Intercept		-0.7808
420	Trt	D	-2.0459
420	Trt	C	-1.2754
420	Trt	B	-0.5565
420	Trt	A	0.0000
421	Intercept		-0.7346
421	Trt	D	-1.9388
421	Trt	C	-1.4713
421	Trt	B	-0.3696
421	Trt	A	0.0000
422	Intercept		-0.6460
422	Trt	D	-2.1655
422	Trt	C	-1.3440
422	Trt	B	-0.4410
422	Trt	A	0.0000
423	Intercept		-0.6158
423	Trt	D	-2.0008
423	Trt	C	-0.8037
423	Trt	B	-0.5035
423	Trt	A	0.0000
424	Intercept		-0.5739
424	Trt	D	-1.9044
424	Trt	C	-1.3336
424	Trt	B	-0.3252
424	Trt	A	0.0000
425	Intercept		-0.6045
425	Trt	D	-2.3396
425	Trt	C	-1.0391
425	Trt	B	-0.5389
425	Trt	A	0.0000
426	Intercept		-0.6878
426	Trt	D	-2.5640
426	Trt	C	-0.9416
426	Trt	B	-0.5428
426	Trt	A	0.0000
427	Intercept		-0.8631
427	Trt	D	-2.5569
427	Trt	C	-1.0844
427	Trt	B	-0.1720
427	Trt	A	0.0000
428	Intercept		-0.8042
428	Trt	D	-1.2852
428	Trt	C	-0.8405
428	Trt	B	-0.6263
428	Trt	A	0.0000
429	Intercept		-0.6010
429	Trt	D	-2.3794
429	Trt	C	-1.6263
429	Trt	B	-0.4969
429	Trt	A	0.0000
430	Intercept		-0.5924
430	Trt	D	-2.1643
430	Trt	C	-1.5435
430	Trt	B	-0.3095
430	Trt	A	0.0000
431	Intercept		-0.6309
431	Trt	D	-2.0523
431	Trt	C	-0.9689
431	Trt	B	-0.2237
431	Trt	A	0.0000
432	Intercept		-0.4273
432	Trt	D	-1.9154
432	Trt	C	-1.2427
432	Trt	B	-0.6445
432	Trt	A	0.0000
433	Intercept		-0.6381
433	Trt	D	-2.7033
433	Trt	C	-1.3330
433	Trt	B	-0.3660
433	Trt	A	0.0000
434	Intercept		-0.7767
434	Trt	D	-1.9593
434	Trt	C	-0.6543
434	Trt	B	-0.2136
434	Trt	A	0.0000
435	Intercept		-0.8267
435	Trt	D	-1.9678
435	Trt	C	-1.2052
435	Trt	B	-0.6239
435	Trt	A	0.0000
436	Intercept		-0.9127
436	Trt	D	-2.2589
436	Trt	C	-0.7837
436	Trt	B	-0.0185
436	Trt	A	0.0000
437	Intercept		-0.8772
437	Trt	D	-1.9790
437	Trt	C	-0.9575
437	Trt	B	-0.1462
437	Trt	A	0.0000
438	Intercept		-0.6398
438	Trt	D	-1.9904
438	Trt	C	-0.9784
438	Trt	B	-0.7342
438	Trt	A	0.0000
439	Intercept		-0.7445
439	Trt	D	-2.3618
439	Trt	C	-1.0592
439	Trt	B	-0.4354
439	Trt	A	0.0000
440	Intercept		-0.8972
440	Trt	D	-2.4443
440	Trt	C	-0.5420
440	Trt	B	-0.2215
440	Trt	A	0.0000
441	Intercept		-0.5477
441	Trt	D	-2.4987
441	Trt	C	-1.3390
441	Trt	B	-0.6989
441	Trt	A	0.0000
442	Intercept		-1.0364
442	Trt	D	-2.0543
442	Trt	C	-0.5409
442	Trt	B	-0.2038
442	Trt	A	0.0000
443	Intercept		-0.5370
443	Trt	D	-2.4339
443	Trt	C	-1.3063
443	Trt	B	-0.8599
443	Trt	A	0.0000
444	Intercept		-0.7584
444	Trt	D	-1.9163
444	Trt	C	-0.8442
444	Trt	B	-0.3687
444	Trt	A	0.0000
445	Intercept		-0.7438
445	Trt	D	-1.3565
445	Trt	C	-1.0524
445	Trt	B	-0.6301
445	Trt	A	0.0000
446	Intercept		-0.7186
446	Trt	D	-1.7514
446	Trt	C	-0.9880
446	Trt	B	-0.7809
446	Trt	A	0.0000
447	Intercept		-0.6266
447	Trt	D	-1.5882
447	Trt	C	-1.1789
447	Trt	B	-0.3740
447	Trt	A	0.0000
448	Intercept		-0.8417
448	Trt	D	-2.2537
448	Trt	C	-1.1873
448	Trt	B	-0.4431
448	Trt	A	0.0000
449	Intercept		-0.7173
449	Trt	D	-1.9326
449	Trt	C	-0.7569
449	Trt	B	-0.4608
449	Trt	A	0.0000
450	Intercept		-0.9903
450	Trt	D	-1.9339
450	Trt	C	-0.9334
450	Trt	B	-0.2694
450	Trt	A	0.0000
451	Intercept		-0.8232
451	Trt	D	-2.2242
451	Trt	C	-0.8878
451	Trt	B	-0.3020
451	Trt	A	0.0000
452	Intercept		-0.7030
452	Trt	D	-1.6409
452	Trt	C	-1.6914
452	Trt	B	-0.4647
452	Trt	A	0.0000
453	Intercept		-0.9419
453	Trt	D	-1.8775
453	Trt	C	-1.2115
453	Trt	B	-0.0294
453	Trt	A	0.0000
454	Intercept		-0.7230
454	Trt	D	-1.9533
454	Trt	C	-1.1158
454	Trt	B	-0.6389
454	Trt	A	0.0000
455	Intercept		-0.7467
455	Trt	D	-2.3896
455	Trt	C	-1.3963
455	Trt	B	-0.3441
455	Trt	A	0.0000
456	Intercept		-0.6040
456	Trt	D	-1.9400
456	Trt	C	-1.2011
456	Trt	B	-1.0545
456	Trt	A	0.0000
457	Intercept		-0.7176
457	Trt	D	-2.2189
457	Trt	C	-0.7507
457	Trt	B	-0.2503
457	Trt	A	0.0000
458	Intercept		-0.5025
458	Trt	D	-2.1677
458	Trt	C	-0.9082
458	Trt	B	-0.7572
458	Trt	A	0.0000
459	Intercept		-0.6765
459	Trt	D	-2.4099
459	Trt	C	-0.8070
459	Trt	B	-0.2471
459	Trt	A	0.0000
460	Intercept		-0.8283
460	Trt	D	-2.2138
460	Trt	C	-0.6689
460	Trt	B	-0.1811
460	Trt	A	0.0000
461	Intercept		-0.8534
461	Trt	D	-1.7492
461	Trt	C	-0.8426
461	Trt	B	-0.3774
461	Trt	A	0.0000
462	Intercept		-0.7916
462	Trt	D	-1.9131
462	Trt	C	-0.6554
462	Trt	B	-0.3698
462	Trt	A	0.0000
463	Intercept		-0.9117
463	Trt	D	-1.5206
463	Trt	C	-1.1328
463	Trt	B	-0.7523
463	Trt	A	0.0000
464	Intercept		-0.6572
464	Trt	D	-2.0989
464	Trt	C	-1.2337
464	Trt	B	-0.6050
464	Trt	A	0.0000
465	Intercept		-0.8228
465	Trt	D	-1.8939
465	Trt	C	-0.6691
465	Trt	B	-0.1929
465	Trt	A	0.0000
466	Intercept		-0.9206
466	Trt	D	-1.8104
466	Trt	C	-0.8364
466	Trt	B	-0.4030
466	Trt	A	0.0000
467	Intercept		-0.5183
467	Trt	D	-2.4257
467	Trt	C	-1.5581
467	Trt	B	-0.9094
467	Trt	A	0.0000
468	Intercept		-0.8049
468	Trt	D	-2.0526
468	Trt	C	-0.8347
468	Trt	B	-0.7282
468	Trt	A	0.0000
469	Intercept		-0.7089
469	Trt	D	-2.7327
469	Trt	C	-0.8986
469	Trt	B	-0.4918
469	Trt	A	0.0000
470	Intercept		-0.7699
470	Trt	D	-2.4811
470	Trt	C	-0.8103
470	Trt	B	-0.1125
470	Trt	A	0.0000
471	Intercept		-0.7316
471	Trt	D	-1.4284
471	Trt	C	-1.3576
471	Trt	B	-0.6378
471	Trt	A	0.0000
472	Intercept		-0.7292
472	Trt	D	-1.5408
472	Trt	C	-1.1345
472	Trt	B	-0.2385
472	Trt	A	0.0000
473	Intercept		-0.5797
473	Trt	D	-2.2339
473	Trt	C	-0.9915
473	Trt	B	-0.4733
473	Trt	A	0.0000
474	Intercept		-0.7819
474	Trt	D	-2.1738
474	Trt	C	-1.7233
474	Trt	B	-0.4748
474	Trt	A	0.0000
475	Intercept		-0.7213
475	Trt	D	-2.3280
475	Trt	C	-1.1683
475	Trt	B	-0.6911
475	Trt	A	0.0000
476	Intercept		-0.7153
476	Trt	D	-1.9308
476	Trt	C	-0.8566
476	Trt	B	-0.2937
476	Trt	A	0.0000
477	Intercept		-0.7064
477	Trt	D	-2.4953
477	Trt	C	-0.7914
477	Trt	B	-0.7546
477	Trt	A	0.0000
478	Intercept		-0.9976
478	Trt	D	-2.6652
478	Trt	C	-0.6115
478	Trt	B	0.0510
478	Trt	A	0.0000
479	Intercept		-0.7913
479	Trt	D	-1.4786
479	Trt	C	-0.6810
479	Trt	B	-0.5389
479	Trt	A	0.0000
480	Intercept		-0.8778
480	Trt	D	-2.0259
480	Trt	C	-1.0875
480	Trt	B	-0.4383
480	Trt	A	0.0000
481	Intercept		-0.6278
481	Trt	D	-2.0879
481	Trt	C	-1.5132
481	Trt	B	-0.8415
481	Trt	A	0.0000
482	Intercept		-0.6197
482	Trt	D	-2.9560
482	Trt	C	-1.1431
482	Trt	B	-0.9676
482	Trt	A	0.0000
483	Intercept		-0.9077
483	Trt	D	-1.9374
483	Trt	C	-1.3443
483	Trt	B	-0.1820
483	Trt	A	0.0000
484	Intercept		-0.9135
484	Trt	D	-2.3879
484	Trt	C	-0.9361
484	Trt	B	-0.4015
484	Trt	A	0.0000
485	Intercept		-0.5431
485	Trt	D	-2.3734
485	Trt	C	-1.1830
485	Trt	B	-0.3664
485	Trt	A	0.0000
486	Intercept		-0.9358
486	Trt	D	-1.8508
486	Trt	C	-0.9199
486	Trt	B	-0.2571
486	Trt	A	0.0000
487	Intercept		-0.6250
487	Trt	D	-1.9113
487	Trt	C	-1.1754
487	Trt	B	-0.3167
487	Trt	A	0.0000
488	Intercept		-0.9776
488	Trt	D	-2.2137
488	Trt	C	-1.0499
488	Trt	B	-0.1493
488	Trt	A	0.0000
489	Intercept		-0.5191
489	Trt	D	-1.5420
489	Trt	C	-1.1868
489	Trt	B	-0.7748
489	Trt	A	0.0000
490	Intercept		-0.5701
490	Trt	D	-2.3725
490	Trt	C	-1.1553
490	Trt	B	-1.0002
490	Trt	A	0.0000
491	Intercept		-0.6614
491	Trt	D	-2.5606
491	Trt	C	-1.0823
491	Trt	B	-0.3773
491	Trt	A	0.0000
492	Intercept		-0.6010
492	Trt	D	-1.9489
492	Trt	C	-1.0385
492	Trt	B	-0.5219
492	Trt	A	0.0000
493	Intercept		-0.5587
493	Trt	D	-2.1161
493	Trt	C	-1.4956
493	Trt	B	-0.4956
493	Trt	A	0.0000
494	Intercept		-0.7069
494	Trt	D	-2.0063
494	Trt	C	-1.2177
494	Trt	B	-0.6386
494	Trt	A	0.0000
495	Intercept		-0.6004
495	Trt	D	-1.3578
495	Trt	C	-1.1626
495	Trt	B	-0.4806
495	Trt	A	0.0000
496	Intercept		-1.0598
496	Trt	D	-1.5078
496	Trt	C	-0.2483
496	Trt	B	0.0508
496	Trt	A	0.0000
497	Intercept		-1.0912
497	Trt	D	-1.2390
497	Trt	C	-0.9298
497	Trt	B	0.1133
497	Trt	A	0.0000
498	Intercept		-0.5926
498	Trt	D	-1.8746
498	Trt	C	-1.1590
498	Trt	B	-0.5468
498	Trt	A	0.0000
499	Intercept		-0.6598
499	Trt	D	-2.7306
499	Trt	C	-0.8967
499	Trt	B	-0.1519
499	Trt	A	0.0000
500	Intercept		-0.4865
500	Trt	D	-2.3943
500	Trt	C	-1.1388
500	Trt	B	-0.5636
500	Trt	A	0.0000
